"Gene1","Gene2","Correlation"
"CSF1","CXCR2",0.543796009730573
"DOK3","GYPC",0.543764741440172
"LOXHD1","ROBO4",0.543689328813338
"CDH5","GYPC",0.543342171924378
"CD48","SLCO5A1",0.543328266050462
"IL12RB1","SLCO5A1",0.542909119474582
"CALCRL","LRCH2",0.542697157555185
"SLCO5A1","TNFRSF9",0.5426774173537
"EHD2","ELN",0.542658811006949
"CCDC69","GNG2",0.542307848312258
"CCR2","DOK3",0.542307039251966
"CXCR2","FFAR4",0.542255971720083
"ADAM12","RHOJ",0.542127464183285
"ITGA7","KANK3",0.54207901816689
"CXCR2","SIGLEC7",0.54114100863535
"SLCO5A1","TRAT1",0.541046244344076
"GYPC","MYO1G",0.54064200558791
"GYPC","KANK3",0.54062912901746
"EPB41L2","GAS7",0.540554859575138
"CDH5","CSPG4",0.540194614403357
"CCDC69","SAMSN1",0.540082269079187
"ILDR2","RECK",0.539862989472907
"HLA-A","ICOS",0.539767449806411
"ELN","SCN7A",0.539555936015897
"FBLN2","RFTN2",0.539425455553271
"MRGPRF","RFTN2",0.539286683647434
"GNB2","GUK1",0.538916128961785
"PDE3A","SLC24A2",0.538913081840207
"CHRNA1","FBLN2",0.538710094763491
"ADGRA2","GNG2",0.538684182783658
"LRP1","RFTN2",0.538427437310714
"ESAM","PTPRM",0.537842531626463
"CCR2","SLCO5A1",0.537564166733461
"LRCH2","SAMD4A",0.537163710299329
"CD2","HLA-A",0.536864522183304
"ARHGEF15","EDNRB",0.535540636842554
"CLIC5","PPP1R16B",0.535340393451578
"PRKD1","TGFBR2",0.534821864889016
"ESAM","GYPC",0.534578091080124
"GAS7","TNFRSF9",0.534460954925532
"GNG2","LRP1",0.534454251218473
"CDH2","PRKD1",0.533893290181048
"CDH5","FAM171A1",0.533269168208804
"ELN","LRCH2",0.53308285565512
"PLPP1","TGFBR2",0.533036738017808
"ITGB3","RHOJ",0.532792067679712
"CCDC69","TNFRSF9",0.532581261167349
"CRYBG3","TGFBR2",0.532557543580717
"CHRNA1","FILIP1L",0.532126217456709
"FBLN2","SAMD4A",0.53212143082517
