"Gene1","Gene2","Correlation"
"MAP4K1","TNFRSF9",0.663171256933121
"FILIP1L","LRP1",0.662926525655421
"CCR4","MAP4K1",0.662894389486431
"FZD4","TEK",0.66283550330949
"FILIP1L","TGFBR2",0.662678901676453
"FILIP1L","THBS2",0.661531332187959
"ICOS","TNFSF13B",0.66098886527632
"FILIP1L","TEK",0.660809939668588
"APOBR","RGS19",0.659621061701299
"CALCRL","CDH5",0.657888256868254
"DOK3","ICOS",0.657291142168538
"FILIP1L","PTPRG",0.656533806635373
"ADAM12","SLC24A2",0.656429209166993
"TNFRSF9","TNFSF13B",0.655961861582044
"ABCA1","CRYBG3",0.654669751626383
"CORIN","THBS2",0.653055721290824
"GRIK1","LHCGR",0.652700420943325
"CD48","CLIC5",0.652364416360605
"CRB3","PKP3",0.652037726530829
"HSH2D","MAP4K1",0.65129392531571
"HSH2D","MS4A1",0.650653152278449
"DOK3","MAP4K1",0.65057674617704
"PTPRB","RFTN2",0.650435897391268
"LRP1","SLIT3",0.650359319283159
"ADAM12","PTPRB",0.648404301268067
"CRB3","PLPP2",0.647836603717784
"JAM2","TEK",0.647301507397789
"LRP1","PTPRG",0.646193357541942
"ADRB2","CCDC69",0.645399614418474
"ADGRA2","FILIP1L",0.645035475767085
"ESAM","RHOJ",0.644174245437402
"B3GALT2","LHCGR",0.643763542721512
"CD2","TNFSF13B",0.64241144881775
"KANK3","MRGPRF",0.642211111730971
"CLIC5","SAMSN1",0.64200305287494
"MS4A1","TNFRSF9",0.641961047867105
"ADGRA2","THBS2",0.641548192235148
"ROBO4","TEK",0.64091962731403
"MS4A1","MYO1G",0.639972211341402
"IL6ST","UTRN",0.639463030682924
"HLA-A","HSH2D",0.639039902093114
"BMX","PTPRB",0.639027616505216
"B3GALT2","CLDN18",0.638457479894504
"CSF1","MYO1G",0.638436960385479
"PTPRB","PTPRG",0.638277430363326
"CRYBG3","IL6ST",0.637952064638809
"LRP1","PRKD1",0.636460276705346
"RHOJ","ROBO4",0.636387284510147
"ADAM12","THBS2",0.635585875319012
"ADAM33","MRGPRF",0.635565747313019
"ADAM33","RAI2",0.634078873374299
"EPCAM","RAB25",0.633489844254869
"IL6ST","PTPRB",0.631333515053058
"DUS1L","UBE2S",0.630355487516992
"DOK3","TRAT1",0.630187155569491
"ABCB1","PTPRB",0.630162202179744
"ICOS","SIGLEC7",0.630011050058912
"CRB3","EPCAM",0.629274766667549
"GNB2","TPRN",0.628901377891708
"SLIT3","TEK",0.628124115547144
"ADAM33","KANK3",0.627965439883112
